Job Title;Description;District;Work Mode
Analista Programador .NET | Visual Basic;"Descripción del puesto DÉJANOS CONTARTE LO QUE NOS HACE GENUINE Buscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología. Esto nos hace únicos, diferentes y auténticos. ¿QUÉ ESTAMOS BUSCANDO? Buscamos un Analista programador con sólidos conocimientos en tecnologías .NET, bases de datos y metodologías ágiles, con capacidad para trabajar en proyectos críticos del sector financiero. Funciones: Desarrollar aplicaciones .NET Core (2.0, 3.1, 5, 6) y Visual Basic para sistemas bancarios Diseñar y optimizar bases de datos Oracle/SQL Server y paquetes SSIS Implementar automatización de procesos con Control-M y scripting (PowerShell/Bash) Desarrollar interfaces web con HTML, CSS, JavaScript y frameworks modernos Gestionar control de versiones con Git/Bitbucket y flujos de trabajo colaborativos Aplicar metodologías ágiles (Scrum/Kanban) usando Jira para gestión de proyectos Requisitos: 4 años de experiencia en desarrollo de software Lenguajes de Programación: Visual Basic 2005 y 2008 C# .NET Core 2.0, 3.1, .NET 5 y 6 Desarrollo Web: HTML, CSS, JavaScript Bases de Datos: Diseño y optimización de bases de datos SQL avanzado y manejo de Oracle SQL Server Integration Services (SSIS) - diseño, desarrollo y despliegue Control de Versiones: Git - branching, merging, pull requests Bitbucket para gestión de repositorios Metodologías y Herramientas: Metodologías ágiles - Kanban, Scrum Jira para gestión de proyectos Control-M para automatización de jobs y AFT Scripting - PowerShell y Bash Disponibilidad para trabajo hibrido (San Isidro, Lima) PORQUE EN ENTELGY TODO COMIENZA CONTIGO Únicos, Reales, Auténticos, Diferentes…… Somos 100% GENUINE. Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en diferentes actividades, eventos, retos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, nuestro compromiso de contribuir a nuestra sociedad con iniciativas para el Cuidado del medio ambiente, Voluntariado comunitario, Sensibilización sobre personas vulnerables, etc. Health & Wellness, Responsabilidad Social, Programa para el Cuidado del Medio Ambiente. ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYO Ven para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine! Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día. Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites. Híbrido Programación Full-time, Indeterminado Senior 10 vacantes disponibles Empleos relacionados Nuevo Publicado hace 2 horas Analista Programador Postgre/Oracle/Híbrido Green Solutions Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de:(1) Analista Programador Postgre/OracleRequisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia ... San Borja, Lima Híbrido Nuevo Publicado hace 21 minutos Practicante pre profesional de automatización CANVIA 2.5 🌟 ¡LANZA TU CARRERA EN TECNOLOGÍA CON NOSOTROS! 🌟En Canvia estamos buscando un(a) Practicante pre profesional de automatización con ganas de aprender, aportar y crecer en una empresa que lidera la transformación digital en el país. 💻🚀👨‍💻 ¿Qué harás en ... Cercado De Lima, Lima Remoto Nuevo Publicado hace 2 horas Analista Programador Fullstack Java Hitss Perú 2.2 ¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR!REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o ... Múltiples vacantes La Victoria, Lima Remoto Nuevo Publicado hace 2 horas Desarrollador Genexus - Remoto Software Enterprise Services S.A.C. 2.8 SOFTWARE ENTERPRISE SERVICESSomos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de ... Múltiples vacantes Cercado De Lima, Lima Híbrido Apto discapacidad Publicado ayer Analista Programador Visual Basic .Net IDM Technology Barranco, Lima Presencial Actualizar sueldo en Mi CV Este campo solo acepta carácteres numéricos. Ver el salario promedio pretendido Bruto por área. Recuerda que el sueldo bruto es el salario total sin las retenciones e impuestos. Ingresa tu sueldo bruto pretendido y calculamos un aproximado de cuánto te queda de sueldo neto ¿Cómo lo calculamos? Postularme El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Industria Informática / Tecnología Ubicación Lima, Lima Tamaño de la empresa Entre 1001 y 5000 empleados Entelgy, empresa transnacional dedicada a la Consultoría, Tecnología y Outsourcing; hemos iniciado hace 16 años a nivel internacional, actualmente nos encontramos en países como España, Brasil, México, Colombia, Chile,Argentina y Perú, somos mas de 1800 profesionales, respaldados por 400 clientes Ver más avisos de la empresa Entelgy Calificación general 2.0 Basado en 5 opiniones 5 20% 4 0% 3 0% 2 20% 1 60% Calificación por categoría Ambiente laboral 2.0";Lima;Híbrido
Analista Desarrollador Java;Descripción del puesto En Experis Perú, nos encontramos en la búsqueda del mejor talento para sumarse a los desafíos de la transformación digital para importante empresa dedicada a la Administración de Fondos Colectivos. Por ello, te invitamos a formar parte del reto como: Analista Desarrollador Java Requisitos para el puesto: Experiencia mínima 2 años en Oracle PL/SQL(indispensable) Experiencia 3 años en Java(JSP). Conocimiento de Html, Java Script, Jquery, Css, IDE Netbeans, Bootstrap - Indispensable VisualStudio - Deseable Funciones: Levantamiento de requerimientos documentada. Convertir las necesidades del negocio en productos de software. Implementar soluciones tecnológicas, aplicando las buenas prácticas en análisis, diseño y desarrollo de software. Gestionar los requerimientos asignados por el Jefe de Sistemas. Hacer seguimiento al desarrollo/pruebas/puesta en producción de la solución propuesta Gestionar la demanda de los requerimientos. Diseñar, codificar y probar que los módulos de los programas cumplen con las especificaciones de diseño. Revisión del listado de pruebas, ejecutar y documentar las pruebas necesarias para asegurar que una aplicación o entorno técnico cumple con los requisitos de rendimiento. Elaborar la documentación respectiva.;La Victoria;Presencial
Desarrollador Backend NodeJS / AWS;Descripción del puesto Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos un Desarrolladores Backend NodeJS / AWS con ganas de trabajar en nuestros equipos multidisciplinares. Requisitos: Experiencia minima de 3 años a más como Backend. Experiencia minima de 3 años en Nodejs. Experiencia minima de 2 años en AWS con Lambda, CloudWatch, API Gateway, etc. Conocimiento y experiencia en TypeScript. Conocimiento y experiencia en Serverless. Condiciones de trabajo: Modalidad Híbrida (3 veces por semana en oficinas) en el distrito de San Isidro. Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm.;San Isidro;Híbrido
ANALISTA DE PROGRAMADOR;Descripción del puesto ¡Buscamos un Analista Programador innovador y resolutivo! Si disfrutas transformar ideas en soluciones tecnológicas eficientes, crear aplicaciones robustas y garantizar que cada sistema funcione de manera óptima, esta es tu oportunidad. Únete a nuestro equipo para diseñar, desarrollar y mantener plataformas digitales que impacten directamente en la experiencia de nuestros usuarios y en la modernización de nuestra institución. Tu talento será clave para integrar front end y back end, optimizar procesos mediante automatización y aportar mejoras constantes que eleven el rendimiento de nuestros sistemas. ¡Sé parte del motor tecnológico que impulsa nuestro crecimiento! Responsabilidades: Analizar información para la toma de decisiones oportunas y el desarrollo de estrategias comerciales que generen el cumplimiento de las metas comerciales. Desarrollar el perfilamiento y/o segmentación de la cartera de clientes, así como identificar y proponer nuevos segmentos de clientes enfocados en oportunidades de negocio. Analizar información específica a medida, utilizando fuentes de información internas y externas, según requerimientos comerciales planteados por el jefe inmediato. Proporcionar la información necesaria para asegurar una correcta asignación de metas comerciales, un adecuado planeamiento de la capacidad comercial y un seguimiento constante a los esquemas de remuneración variable. Hacer seguimiento a los indicadores de gestión (KPIs) y reportes estratégicos a monitorear en las instancias establecidas, a fin de asegurar una adecuada gestión del performance, alineado a la estrategia de la Gerencia de Créditos. Realizar dentro de su competencia las demás funciones y atribuciones que establezcan las disposiciones normativas vigentes y/o las que le asigne su jefe inmediato. Requisitos Bachiller en Ingeniería Industrial, Ingeniería de Sistemas, Administración de Empresas, Estadística, Economía o afines. 3 años de experiencia en el desarrollo de interfaces de usuario. Conocimiento en PI / SQL Oracle, .Net C#, Angular 10 (o superior) y JavaScript y TypeScript (Indispensable) Se valora experiencia en programación orientada a objetos / Manejo de IDE's, trabajar con frameworks y experiencia con Rest Apis. Deseable con experiencia en el desarrollo de aplicaciones móviles (IOS y/o Android) Presencial Programación Full-time, Indeterminado Senior 1 vacante disponible Empleos relacionados Publicado hace 2 días Analista Programador apparka En apparka, estamos estamos en búsqueda del mejor talento para ocupar la posición de Analista Programador¿Qué harás en este rol? Ejecutar despliegues en entornos de prueba y producción, asegurando la correcta implementación de nuevas funcionalidades. Consumo y desarrollo de APIs REST y/o SOAP. ... San Isidro, Lima Presencial Publicado hace 2 días Analista de Imagenes Hospitalarias / Sistemas GRUPO SAN PABLO 2.4 Grupo San Pablo te invita a unirte a su equipo, donde la excelencia, el compromiso y la tecnología de punta se combinan para ofrecer soluciones únicas. Si buscas un entorno dinámico y desafiante. ¡Esta es tu oportunidad de marcar la diferencia en la vida de las personas!Hoy, queremos que seas parte ... Santiago de Surco, Lima Presencial Actualizado hace 6 días Analista de Auditoria de Sistemas America Movil Peru SAC 4.0 Somos Claro Perú y formamos parte del Grupo América Móvil, la empresa líder en servicios integrados de telecomunicaciones en Latinoamérica. Nos encontramos en la búsqueda de un Analista de Auditoria de Sistemas para que juntos sigamos mejorando la vida de los peruanos a través de las ... La Victoria, Lima Híbrido Apto discapacidad Actualizado ayer ANALISTA PROGRAMADOR DE TI SEABOARD OVERSEAS PERU S.A. Propósito: · Responsable del desarrollo y documentación de las nuevas implementaciones, mejoras y reportes en los sistemas de información de SOP, incluye interfases de comunicación, bases de datos e infraestructura, basadas en arquitecturas.Net (C#), X++, etc. (en entornos Windows /Web), ... San Isidro, Lima Presencial Actualizado ayer ANALISTA PROGRAMADOR PHP CANVIA 2.5 Somos Canvia ¡Una empresa que innova y reinventa!¡Buscamos a una Analista Programador PHP con ADN de innovación!Top de razones para trabajar con nosotrosCANVIA es una de las empresas más grandes del sector IT en el Perú y nuestro propósito es hacer más fácil la vida de las personas, innovando e ... Múltiples vacantes Lima, Lima Híbrido Actualizar sueldo en Mi CV Este campo solo acepta carácteres numéricos. Ver el salario promedio pretendido Bruto por área. Recuerda que el sueldo bruto es el salario total sin las retenciones e impuestos. Ingresa tu sueldo bruto pretendido y calculamos un aproximado de cuánto te queda de sueldo neto ¿Cómo lo calculamos? Postularme El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Ver más avisos de la empresa Derrama Magisterial Calificación general 6 3.0 Basado en 3 opiniones 5 34% 4 0% 3 33% 2 0% 1 33% Calificación por categoría Ambiente laboral 2.7;Jesús María;Presencial
Desarrollador Full Stack (Java / AWS / React Native);Descripción del puesto SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición Desarrollador FullStack (Java / AWS / React Native) Requisitos: Requisitos: Bachiller o Titulado en Ingeniería de Sistemas, Informática, Software, Ciencias de la Computación o carreras afines. Experiencia mínima de 4 años en posiciones similares. Experiencia en desarrollo de microservicios en Java con Quarkus. Diseño e implementación de APIs REST y GraphQL. Experiencia en integración con servicios en la nube (AWS Lambda, EventBridge, AppSync, DynamoDB). Conocimientos de buenas prácticas en arquitectura, seguridad y calidad de código. Manejo de bases de datos PostgreSQL y MongoDB. Desarrollo de aplicaciones móviles con React Native y consumo de APIs. Experiencia en pruebas unitarias y control de versiones con Git. Competencias blandas: Comunicación asertiva Proactividad Trabajo en equipo;Cercado De Lima;Híbrido
Programador BMS;Descripción del puesto More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funciones: Programación y desarrollo de sistemas SCADA/BMS. Control y monitoreo de sistemas electromecánicos. Colaboración con ingenieros y técnicos en sala de control. Participación en proyectos de automatización de edificios e infraestructura eléctrica. Modalidad de Trabajo: 100 % Presencial en Lima, Perú.;Lima;Presencial
Desarrollador FullStack (Lenguaje Go y React Native);Descripción del puesto SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición Desarrollador FullStak (Lenguaje Go y React Native) Requisitos: Bachiller/Título en Ingeniería en Sistemas, Informática, Software, Ciencias de la Computación o afines (Indispensable). Experiencia mínima de 3 años en posiciones similares (Indispensable). Experiencia en dominio del lenguaje Go, Modules (go.mod, go.sum), REACT Native-Expo 54 y Framework Fiber (Nivel avanzado-Indispensable). Manejo de servicios web y APIs RESTful, manejo de JSON, HTTP y dominio de protocolos HTTPS (Nivel avanzado – Indispensable). Programación concurrente (Nivel intermedio – Deseable). Manejo de Docker y Kubernetes para contenerización y orquestación de servicios (Nivel intermedio – Deseable). Experiencia en CI/CD, integración y despliegue continuo con GitLab (Nivel intermedio – Deseable). Conocimientos de Metodología Ágil Scrum (Nivel intermedio – Deseable). Competencias blandas: Comunicación asertiva Proactividad Trabajo en equipo;Lima;Híbrido
Desarrollador Mobile React Native;Descripción del puesto Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento para el cargo de un Desarrollador Mobile React Native para colaborar en modalidad híbrida con uno de nuestros clientes del sector bancario para un proyecto de 3 meses con el siguiente perfil: Requisitos Formación Universitaria culminada en Ingeniería de Sistemas, Software, Computación e Informática o carreras afines. 3 a 5 años de experiencia desarrollando aplicaciones móviles con React Native CLI. Conocimiento y aplicación de Arquitectura Limpia en proyectos móviles. Experiencia en despliegue de aplicaciones a tiendas oficiales (Google Play / App Store) y tiendas internas. Manejo de Firebase (Auth, Firestore, Notifications, etc.). Conocimiento en gestión de dependencias: iOS: CocoaPods Android: Gradle Dominio en herramientas de control de versiones como GitLab (ramificación, merge requests, CI/CD opcional).;San Isidro;Híbrido
Desarrollador FrontEnd Senior;Descripción del puesto Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento Desarrollador Frontend Senior para colaborar en modalidad híbrida con nuestro cliente del sector bancario en un proyecto de 3 meses con posibilidad de extensión. Requisitos: +4 años de experiencia en desarrollo Front End. Experiencia sólida en Java + Angular 18 o 19. Manejo y creación de componentes (conocimiento en Storybook es un plus). Dominio de SASS. Desarrollo de Single Page Applications (SPA). Conocimiento en microfrontends. Aplicación de arquitectura limpia en proyectos. Uso avanzado de RxJS.;San Isidro;Híbrido
Desarrollador .NET Senior;Descripción del puesto Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento para el cargo de Desarrollador .NET Senior para colaborar en modalidad remota en un proyecto de periodo inicial de 3 meses con uno de nuestros clientes del sector bancario. Requisitos: Bachiller universitario en Ingeniería Informática o afines 3-5 años de experiencia como desarrollador Dominio Avanzado .NET Dominio Avanzado en bases de dato SQL Sólidos conocimientos en inteligencia de negocio (BI);Lima;Remoto
Programador;Descripción del puesto Estamos en búsqueda de un Programador Full Stack para integrarse a nuestro equipo y participar en uno de nuestros próximos proyectos. Lo que buscamos de ti Principales responsabilidades: Implementar interfaces dinámicas y atractivas con JavaScript e integraciones con APIs REST. Construir y mantener el backend con Node.js y Express, incluyendo el manejo de colas y servicios en tiempo real mediante WebSockets. Diseñar, optimizar y mantener SQL Server, con experiencia en consultas complejas, triggers y stored procedures. Resolver problemas críticos en los procesos de despliegue y compilación para entornos web Mejorar el rendimiento de las aplicaciones mediante la optimización de consultas SQL de alta complejidad. Formación y experiencia Egresado de Ingeniería de Sistemas, Computación o afines. Experiencia mínima de 2 años en desarrollo de software.;Miraflores;Presencial
Programador Full Stack c/ exp en IA;"Descripción del puesto En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador Full Stack Desarrollar aplicaciones web y mobiles que cumplan buenas practicas de programación y desarrollo seguro (Indispensable) Elaborar documentación técnica resultante de la implementación de requerimientos Especificar, diseñar y mantener mecanismos para almacenar y acceder a datos. Garantizar la integración y despliegue continuo de los requerimientos implementados Implementar soluciones de IA para desarrollar features como chatbots, reconocimiento de imágenes o procesamiento de documentos. ¿Qué requisitos necesito? - Egresado técnico o bachiller universitario en Ingeniería de Sistemas, Informática, Computación o carreras afines. - 3 años en integración y desarrollo de aplicaciones, con experiencia demostrable en la integración de al menos un tipo de feature de IA (chatbot, visión, NLP) en una aplicación web en producción. - 1 año de experiencia en proyectos del sector financiero (deseable) Conocimientos técnicos requeridos: 1) Frontend: Dominio Obligatorio en React, NextJS, 2) Backend: Dominio Obligatorio en Java, Python (Deseable: Nodejs, Nestjs) 3) Bases de Datos: Conocimiento en MongoDB, Firebase, MySQL y SQL Server 4) Infraestructura y DevOps: Manejo de pipelines CI/CD (GitHub Actions, Jenkins, etc.). Conocimiento en contenedores (Docker, Kubernetes). 5) Herramientas de IA: APIs de Cloud: OpenAI API, Google Gemini, Azure AI Services, AWS Bedrock/AI Services. Frameworks de integración: LangChain, LlamaIndex. Bibliotecas de ML: Hugging Face transformers, TensorFlow Lite, PyTorch (para inferencia) Deseable: Conocimiento de estándares de seguridad (OWASP). Manejo de herramientas DevOps (Docker, Kubernetes, Jenkins) para automatización de despliegues. Disponibilidad para trabajar bajo modalidad presencial de L-V en San Borja ¿Por qué Valtx? Porque creemos que el talento se potencia con propósito. En Valtx no solo desarrollamos tecnología, transformamos negocios y acompañamos a nuestros colaboradores en su desarrollo profesional, promoviendo una cultura colaborativa, cercana y orientada a la excelencia. ¿Estás listo para construir soluciones que marcan la diferencia? Postula hoy y forma parte de un equipo que evoluciona contigo. Presencial Programación Full-time, Temporal Semi Sr 1 vacante disponible Apto personas con discapacidad Empleos relacionados Nuevo Publicado hace 3 horas Analista Programador Postgre/Oracle/Híbrido Green Solutions Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de:(1) Analista Programador Postgre/OracleRequisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia ... San Borja, Lima Híbrido Nuevo Publicado hace 23 minutos Practicante pre profesional de automatización CANVIA 2.5 🌟 ¡LANZA TU CARRERA EN TECNOLOGÍA CON NOSOTROS! 🌟En Canvia estamos buscando un(a) Practicante pre profesional de automatización con ganas de aprender, aportar y crecer en una empresa que lidera la transformación digital en el país. 💻🚀👨‍💻 ¿Qué harás en ... Cercado De Lima, Lima Remoto Nuevo Publicado hace 2 horas Analista Programador Fullstack Java Hitss Perú 2.2 ¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR!REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o ... Múltiples vacantes La Victoria, Lima Remoto Nuevo Publicado hace 2 horas Desarrollador Genexus - Remoto Software Enterprise Services S.A.C. 2.8 SOFTWARE ENTERPRISE SERVICESSomos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de ... Múltiples vacantes Cercado De Lima, Lima Híbrido Apto discapacidad Nuevo Publicado hace 4 horas ANALISTA PROGRAMADOR .NET/SQLSERVER INTEGRATION & QUALITY PROJECT MANAGEMENT S.A.C. - IQ PROJECT S.A.C. En iQ Project, empresa apasionada por la tecnología, nos encontramos en la búsqueda del mejor talento para la posición de ANALISTA PROGRAMADOR .NET/SQLSERVER que comparta nuestra pasión y esté listo para asumir nuevos retos.REQUISITOS: Experiencia en: Desarrollo de aplicaciones Web en .Net ... Múltiples vacantes Lima, Lima Híbrido Actualizar sueldo en Mi CV Este campo solo acepta carácteres numéricos. Ver el salario promedio pretendido Bruto por área. Recuerda que el sueldo bruto es el salario total sin las retenciones e impuestos. Ingresa tu sueldo bruto pretendido y calculamos un aproximado de cuánto te queda de sueldo neto ¿Cómo lo calculamos? Postularme El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Industria Servicios Ubicación San Borja, Lima Tamaño de la empresa Entre 1001 y 5000 empleados En Valtx tenemos más de 20 años de experiencia en el mercado peruano, brindando soluciones tecnológicas que impulsan a las empresas. Contamos con un equipo de más de 650 colaboradores comprometidos con la seguridad, eficiencia y continuidad de nuestros servicios. A través de herramientas innovadoras y un equipo multidisciplinario de expertos, garantizamos la protección de la información y nos mantenemos a la vanguardia del sector.";San Borja;Presencial
Programador BMS - Automizador;Descripción del puesto More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funciones: Programación y desarrollo de sistemas SCADA/BMS. Control y monitoreo de sistemas electromecánicos. Colaboración con ingenieros y técnicos en sala de control. Participación en proyectos de automatización de edificios e infraestructura eléctrica. Modalidad de Trabajo: 100 % Presencial en Lima, Perú.;Lima;Presencial
Programador BMS;Descripción del puesto More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funciones: Programación y desarrollo de sistemas SCADA/BMS. Control y monitoreo de sistemas electromecánicos. Colaboración con ingenieros y técnicos en sala de control. Participación en proyectos de automatización de edificios e infraestructura eléctrica. Modalidad de Trabajo: 100 % Presencial en Lima, Perú.;Lima;Presencial
Analista Programador / Sector Educativo;Descripción del puesto En inLearning Escuelas de Educación superior, plataforma educativa del grupo Intercorp, conformada por Idat, Zegel, la Escuela de Arte Corriente Alterna e Innova Teaching School, empresas que promueven la equidad de género, igualdad e inclusión, nos encontramos en la búsqueda de un(a) Analista Programador Jr. Propósito: Analizar, desarrollar y brindar soporte informático para el sistema educativo de la empresa. Funciones: Análisis y desarrollo de nuevos requerimientos del ERP Académico. Mantenimiento y soporte de requerimientos y errores del ERP Académico. Realizar consultas y actualización de los registros de base de datos de las aplicaciones. Atender y orientar a los usuarios en el manejo del ERP Académico. Seguimiento, acompañamiento y validación de pases a producción. Realizar otras funciones afines y/o complementarias que le asigne su jefe inmediato. Requisitos: Formación Superior Técnica o Universitaria completa en Computación, Ingeniería de Sistemas, Informática o afines. Experiencia mínima de 1 año a más, como programador de aplicaciones Desktop y web, con Base de Datos MSSQL y Microsoft .NET Conocimientos en Base de Datos MSSQL (de preferencia 2016 en adelante). Conocimientos en Microsoft .NET 2017 para soluciones web y escritorio Conocimiento de lenguaje de programación C# y VB. Manejo de Repositorios versionamiento Git. Conocimientos en Arquitectura WCF, MVC y Framework .NET Conocimientos en Diseño de interfaces, interacción y experiencia usuario. Conocimientos en Excel avanzado y MS PoweBI (deseable);Cercado De Lima;Híbrido
Programador BMS;Descripción del puesto Indra es una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 40.000 profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. Requisitos: Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funciones: Programación y desarrollo de sistemas SCADA/BMS. Control y monitoreo de sistemas electromecánicos. Colaboración con ingenieros y técnicos en sala de control. Participación en proyectos de automatización de edificios e infraestructura eléctrica. Modalidad de Trabajo: Presencial en Lima, Perú.;Lima;Presencial
